word,value
icke:,3.492506567814207e-05
deutschkurs,0.004488182831122754
zustand,7.869089880682375e-05
hölle,4.681626742272091e-05
europe,0.1234089318823431
sondern,0.0002431682276245434
gunter,1.2598381777626828e-05
verkäuferin,0.00034255787240345645
massen-einwanderung,0.00013293153953910892
wirklichkeit,3.5532915054582655e-05
test!,0.001532616433405672
hai̇n,0.00011454621472978063
gericht,0.002775828761129649
us-besetzt,5.879968056182949e-05
machen,4.590907002653854e-06
paris,0.0002466268329443687
herbert,0.00022982853855755978
ozean“,2.5999545107630285e-05
eindrücke,1.464533913119528e-07
brainfaqk,5.518716357613466e-05
wer,0.0012872473791382506
xavier,0.016405443787005678
grosses,6.875986722096184e-05
rivers,0.00011466554712270149
@,0.043123191579455065
20.4.2015,3.494337235205607e-05
(zns),0.0001087491013236825
supermarkt,0.00034255787240345645
entropie?,8.63180015793615e-05
kifft,0.00014431829071361325
illusion,6.658510216247531e-05
(vera,0.00019515660219773464
bruno,7.992558225857868e-05
entsprungen,0.00013081881376444206
packt,0.00010737643979261283
eu,2.689521607949644e-05
deutsch],0.0001308994987346556
"invasion""",7.298735284517491e-05
hoch,7.207405322435455e-06
series,0.0005820593410455228
(17.12.2012),9.90865676218925e-06
final,0.06231528133779868
soundtrack,0.5000910167145506
wir,0.00013095848690615624
?,4.532370847793058e-05
sexismus,1.4779588073231235e-05
sweater,0.07395148603130469
popp,2.2449406418234985e-05
w.,7.198003376326539e-05
jillian,0.02097096689121538
im,8.623938835208064e-05
blau?,4.2493858304138965e-05
3,0.0003014546432918213
marxismus,3.612788195678746e-05
empathie,4.152089248685817e-05
2/2),2.1596451018834816e-05
highlights,1.464533913119528e-07
zu!,7.051459581686615e-08
jan,0.0017259456453326463
lyrics),0.08000487931169954
1/6,6.218844931079774e-05
jein,0.00019442908141589332
sieber:,1.937252915076442e-05
ziegler,0.01607795501933328
[3sat],0.00041195033691189076
marcus,3.612788195678746e-05
#goldinitiative,6.875986722096184e-05
lieben,0.00016197948486589911
126,1.9323711353660438e-07
ionen,9.977069480630806e-05
masse,9.64368460790818e-05
بيير,0.00013436013812936025
dialog,8.456327298345719e-06
amnesty,1.0302589263820013e-05
adressen,5.3589736770898724e-05
liveworship,7.41569459007912e-05
(constantin,0.00039035931009273416
lust,0.0043140836501008315
177,3.213160284385853e-06
würfelspiel,0.00038407876489031465
major,0.00018791461760235054
sido,0.0010335839607847504
trucks,0.00731864345338648
gar,5.000434078359499e-06
seite,0.00022819269033793645
vega,0.012473701801848211
genauso,7.815322501372014e-05
camp,2.712099839110237e-08
lyrics,0.009179413796950094
teaser,0.003535715742450912
frei?,6.968672734097775e-05
"936,",0.006808706305337456
midnight,2.2254813254778825e-05
vogt:,2.6521624326659008e-05
armin,2.4982507667963947e-05
interpretiert,0.0004403107649294665
"atome,",9.977069480630806e-05
org,3.051112318999016e-08
fußball-die,0.000960591861764857
christof,1.1381326974826109e-05
froböse),6.696852527722952e-05
freundin,0.003931131762693667
truth,0.004213111495065798
albrecht,3.1867173109545284e-08
freddy's,0.028452192593657
byron,0.00016197948486589911
will,0.004905751282851362
kawusi,0.0004265332977467865
glp,0.00018516590441541232
featuring,0.010366613804721888
from,0.04029346932637253
unmenschliche,4.1495805563346404e-05
aber,0.0034502723930696635
cern-experiment?,0.00022898462349095662
window!,5.200451441493879e-07
will.,5.3589736770898724e-05
univ.-prof.,2.5080821287131694e-05
:,0.15006546707290505
discover,0.01521451057380535
#15,7.051459581686615e-08
mehr,1.7762784892092534e-05
huber,2.1968008696792918e-07
charlie,1.0
rundfunkchor,0.00019752833350703656
frauentausch,0.0055636795828211145
"""das",6.331397074402848e-06
total,0.0013763099833782317
7,0.5000671800690647
pol1z1stens0hn,0.00799267620220087
#thesimpleshort,4.149512753838662e-06
gesundheitsschädlich?,8.912638096276015e-06
teil1,2.1893425951217388e-05
wiz,1.0
someone,0.08000487931169954
part,4.068149758665356e-09
#twitterstar,3.8153142511643036e-05
song,0.028452192593657
claas,0.006808706305337456
flüchtlinge,3.956275640302058e-06
medizin,3.3670945510873515e-05
sara,0.02950474565874145
schutz,5.879290031223172e-05
combat,3.090098754186226e-05
it,0.035042230764278995
